chunk_size,time
9,0.105433
9,0.102654
9,0.108784
9,0.103188
9,0.102605
9,0.102864
9,0.101069
9,0.101647
9,0.108163
9,0.113200
9,0.107258
9,0.102091
9,0.097053
9,0.097322
9,0.097624
9,0.098702
9,0.100361
9,0.098882
9,0.101632
10,0.108509
10,0.126136
10,0.120971
10,0.093003
10,0.085936
10,0.085094
10,0.085359
10,0.086307
10,0.084269
10,0.084903
10,0.087708
10,0.084340
10,0.086931
10,0.086105
10,0.084140
10,0.085097
10,0.084321
10,0.085822
10,0.084466
10,0.084236
20,0.083899
20,0.085330
20,0.084409
20,0.084067
20,0.084661
20,0.084664
20,0.083613
20,0.084225
20,0.084149
20,0.083670
20,0.083862
20,0.084497
20,0.083831
20,0.084119
20,0.084662
20,0.085426
20,0.083889
20,0.083296
20,0.084088
20,0.084735
30,0.084229
30,0.083129
30,0.084510
30,0.082777
30,0.082711
30,0.104535
30,0.086448
30,0.083581
30,0.085093
30,0.083529
30,0.084272
30,0.083605
30,0.084147
30,0.092418
30,0.089879
30,0.083527
30,0.084023
30,0.090002
30,0.084800
30,0.084350
40,0.085249
40,0.084514
40,0.089726
40,0.088185
40,0.086642
40,0.087218
40,0.089444
40,0.089388
40,0.091301
40,0.093583
40,0.093642
40,0.092677
40,0.091928
40,0.093250
40,0.092208
40,0.091603
40,0.098001
40,0.094955
40,0.094901
40,0.099807
50,0.096175
50,0.093916
50,0.094642
50,0.096980
50,0.096761
50,0.097118
50,0.095753
50,0.096011
50,0.097295
50,0.096646
50,0.097054
50,0.096326
50,0.096288
50,0.097358
50,0.096429
50,0.099045
50,0.096093
50,0.095903
50,0.095967
50,0.096429
60,0.098245
60,0.097227
60,0.097564
60,0.096440
60,0.096599
60,0.097116
60,0.096016
60,0.098188
60,0.095625
60,0.095208
60,0.098914
60,0.096208
60,0.096971
60,0.095846
60,0.100157
60,0.098291
60,0.099509
60,0.098171
60,0.098956
60,0.096863
70,0.097424
70,0.098241
70,0.099694
70,0.096806
70,0.095884
70,0.096733
70,0.095646
70,0.097420
70,0.100001
70,0.095940
70,0.097119
70,0.097989
70,0.096940
70,0.096286
70,0.095665
70,0.096957
70,0.096127
70,0.096320
70,0.097318
70,0.097382
80,0.097143
80,0.099572
80,0.096901
80,0.096973
80,0.097223
80,0.097840
80,0.097908
80,0.098362
80,0.097958
80,0.096590
80,0.096201
80,0.099687
80,0.096429
80,0.097884
80,0.096897
80,0.097170
80,0.098454
80,0.096327
80,0.097014
80,0.097467
90,0.103786
90,0.097401
90,0.099699
90,0.096731
90,0.097767
90,0.097232
90,0.099455
90,0.096930
90,0.096911
90,0.097314
90,0.096764
90,0.097964
90,0.098151
90,0.099029
90,0.097084
90,0.096696
90,0.096943
90,0.097808
90,0.097265
90,0.097840
100,0.088327
100,0.086532
100,0.085380
100,0.085685
100,0.085392
100,0.084134
100,0.084788
100,0.086328
100,0.085523
100,0.084590
100,0.085686
100,0.084465
100,0.086829
100,0.084762
100,0.084377
100,0.084860
100,0.084354
100,0.087171
100,0.084848
100,0.084500
200,0.084267
200,0.084289
200,0.085794
200,0.084444
200,0.088335
200,0.085253
200,0.086670
200,0.084029
200,0.084615
200,0.084485
200,0.086086
200,0.084049
200,0.084258
200,0.084069
200,0.084855
200,0.084567
200,0.086509
200,0.084046
200,0.085721
200,0.084221
300,0.084433
300,0.085644
300,0.085470
300,0.084515
300,0.085482
300,0.084485
300,0.084982
300,0.085143
300,0.085788
300,0.085053
300,0.083457
300,0.083888
300,0.084560
300,0.086696
300,0.085318
300,0.085706
300,0.084203
300,0.084116
300,0.084083
300,0.086989
400,0.085046
400,0.084146
400,0.084712
400,0.084004
400,0.085045
400,0.083882
400,0.085597
400,0.085011
400,0.084439
400,0.084129
400,0.084299
400,0.085112
400,0.083919
400,0.085913
400,0.085662
400,0.086925
400,0.088311
400,0.087876
400,0.088725
400,0.088253
500,0.089408
500,0.091046
500,0.091715
500,0.092789
500,0.095884
500,0.091091
500,0.093116
500,0.092535
500,0.094073
500,0.091312
500,0.091735
500,0.093304
500,0.094394
500,0.106750
500,0.094941
500,0.096080
500,0.098289
500,0.097266
500,0.097287
500,0.096640
600,0.094098
600,0.094682
600,0.094934
600,0.096030
600,0.095478
600,0.094878
600,0.094967
600,0.094567
600,0.097159
600,0.096726
600,0.096438
600,0.097229
600,0.097062
600,0.098328
600,0.098626
600,0.098284
600,0.097498
600,0.096952
600,0.097187
600,0.098826
700,0.096968
700,0.110358
700,0.097729
700,0.096714
700,0.098744
700,0.098723
700,0.097350
700,0.097260
700,0.097094
700,0.099320
700,0.100397
700,0.097408
700,0.097076
700,0.097058
700,0.098228
700,0.096477
700,0.100727
700,0.097214
700,0.098099
700,0.099499
800,0.097266
800,0.096759
800,0.099026
800,0.096494
